省份,城市,区域,名称,联系方式类型,联系方式
北京,,,玩家群,QQ群,60749127
北京,,,北京理工&北京工商(良乡),QQ群,673776974
北京,,东城区,宝库卡牌,QQ群,1007833969
北京,,大兴区,风铃水都卡牌,QQ群,574750213
北京,,朝阳区,亚伦国度,QQ群,871157160
北京,,朝阳区,妃雅莉卡牌,QQ群,963157504
北京,,海淀区,真新镇,微信,13261152180
北京,,,北京航空航天大学,QQ群,756514612
天津,,,中国民航大学,QQ群,139335543
天津,,,天津理工大学,QQ群,909637542
天津,,南开区,冰美式卡牌,QQ群,613735928
天津,,滨海新区,据点桌游,微信,judianleige
天津,,和平区,万卷卡牌,QQ群,754195298
河北,唐山市,路南区,Neptune御宅屋,QQ群,797215222
河北,保定市,,河北大学,QQ群,912043964
河北,承德市,,玩家群,QQ群,943919492
河北,保定市,,玩家群,QQ群,1091271443
河南,郑州市,,郑州大学,QQ群,612705489
河南,郑州市,金水区,魔钟洞卡牌,QQ群,450126019
河南,郑州市,金水区,星游卡集,微信,19396488157
河南,洛阳市,涧西区,鸟白岛桌游卡牌,QQ群,718879122
河南,平顶山市,新华区,平声教育书店,QQ群,340987876
河南,济源市,,玩家群,QQ群,1042832105
山东,济南市,市中区,纳雅卡牌,QQ群,1037221372
山东,济宁市,任城区,四星球卡牌,QQ群,852482911
山东,潍坊市,,山东第二医科大学,QQ群,819599673
山东,潍坊市,奎文区,鸽友动漫,QQ群,562632925
山东,日照市,东港区,瑜源卡牌,QQ群,689134431
山东,青岛市,市北区,冰点卡牌,QQ群,875292049
山东,青岛市,黄岛区,嵙北山风,QQ群,959725226
山西,太原市,,山西大学,QQ群,849282423
山西,晋中市,,山西农业大学(太谷),QQ群,1076072273
辽宁,沈阳市,,沈阳航空航天大学,QQ群,839330786
辽宁,沈阳市,,沈阳大学,QQ群,705355061
辽宁,沈阳市,沈河区,暗特卡牌,QQ群,754563543
辽宁,沈阳市,大东区,卡牌一族,QQ群,675889414
辽宁,大连市,,玩家群,QQ群,419504213
辽宁,大连市,,大连理工大学,QQ群,1075318324
辽宁,鞍山市,,玩家群,QQ群,839330786
辽宁,鞍山市,铁东区,呆猫动漫玩具,QQ群,1042259247
辽宁,鞍山市,铁东区,心之钢卡牌,微信,18641244771
黑龙江,哈尔滨市,,玩家群,QQ群,624494520
黑龙江,哈尔滨市,,黑龙江大学,QQ群,1043250818
黑龙江,哈尔滨市,香坊区,星桥卡牌,QQ群,624494520
黑龙江,鸡西市,,玩家群,QQ群,970336739
吉林,延边州-延吉市,,交界地卡牌,QQ群,133365476
重庆,,渝中区,COPTUS卡普塔斯,QQ群,935285761
重庆,,,重庆邮电大学,QQ群,618374111
重庆,,,重庆大学,QQ群,950680488
四川,成都市,,四川大学,QQ群,852053490
四川,成都市,,成都理工大学,QQ群,753433969
四川,成都市,,成都信息工程大学,QQ群,1002902565
四川,成都市,金牛区,DDD异次元卡牌,QQ群,979271368
四川,眉山市,,四川大学锦江学院,QQ群,907990466
四川,德阳市,,中国民用航空飞行学院,QQ群,1080203999
陕西,西安市,,西安翻译学院,QQ群,737829500
陕西,西安市,雁塔区,赛高卡牌,QQ群,909942822
陕西,西安市,,西北工业大学,QQ群,1042971654
云南,昆明市,,杨林大学城,QQ群,1004245781
云南,昆明市,,云南财经大学,QQ群,700671276
云南,德宏州,,枫糖浆卡牌,QQ群,924530146
甘肃,兰州市,,西北民族大学,QQ群,909652793
甘肃,金昌市,,玩家群,QQ群,1046691615
甘肃,兰州市,七里河区,邦邦咔邦桌游CLUB,QQ群,453054093
甘肃,兰州市,城关区,爆砕卡牌屋,QQ群,681570737
内蒙古,呼和浩特市,,玩家群,QQ群,316156596
内蒙古,呼和浩特市,赛罕区,巡礼者卡牌,微信,z1542033614
宁夏,银川市,兴庆区,火花卡牌桌游,微信,SparkBG
新疆,乌鲁木齐市,天山区,赛高卡牌,QQ群,1003128957
贵州,贵阳市,,玩家群,QQ群,725430532
贵州,贵阳市,云岩区,独角卡友卡牌,QQ群,725430532
上海,,黄浦区,模玩熊卡牌,QQ群,1043283926
上海,,徐汇区,瓜游卡牌社,QQ群,953934926
上海,,青浦区,西悠木卡牌社,QQ群,967646117
上海,,松江区,吉马卡牌社,QQ群,868724098
上海,,宝山区,优极客桌游,微信,hunhunqiangshi
上海,,,上海立信会计金融学院,QQ群,1098117779
安徽,合肥市,,中国科学技术大学,QQ群,864057885
安徽,合肥市,蜀山区,篝火卡牌,QQ群,953733371
安徽,蚌埠市,蚌山区,Z3 Tcg Club,QQ群,817205909
安徽,芜湖市,,玩家群,QQ群,300625132
安徽,黄山市,,玩家群,QQ群,187269061
安徽,合肥市,蜀山区,绯染卡社,QQ群,1025991383
江苏,南京市,,中国药科大学,QQ群,1023167081
江苏,南京市,,南京邮电大学,QQ群,486803608
江苏,南京市,,南京航空航天大学,QQ群,574251381
江苏,南京市,,东南大学,QQ群,924391363
江苏,南京市,,南京大学,QQ群,257620664
江苏,南京市,秦淮区,尤尼卡牌,QQ群,759834774
江苏,南京市,秦淮区,鱼人卡牌,QQ群,970255946
江苏,苏州市,,苏州大学,QQ群,1004731242
江苏,苏州市,姑苏区,剑与繁星跑团桌游,QQ群,1046913893
江苏,常州市,钟楼区,核心玩家TCG专门店,QQ群,991567826
江苏,泰州市,,玩家群,QQ群,417969264
江苏,无锡市,梁溪区,千羽轩,QQ群,415760844
江苏,无锡市,宜兴市,玩家群,QQ群,912506005
江苏,徐州市,,中国矿业大学,QQ群,851500167
江苏,徐州市,,江苏师范大学,QQ群,860303835
江苏,徐州市,鼓楼区,原点卡牌,QQ群,317951838
江苏,徐州市,鼓楼区,源数卡牌,QQ群,767647836
江苏,宿迁市,,玩家群,QQ群,972529846
江苏,扬州市,,扬州大学,QQ群,934125158
江苏,扬州市,邗江区,牌客盟,QQ群,544439496
江苏,连云港市,连云区,傲风卡牌,QQ群,70159095
江苏,南通市,崇川区,团大力卡牌,微信,13003357703
江苏,盐城市,大丰区,苍蓝卡牌,QQ群,653902726
江苏,淮安市,,淮安大学,QQ群,806947045
江苏,南京市,,南京工业大学,QQ群,482679363
江苏,南京市,,玩家群,QQ群,421746242
浙江,杭州市,,浙江大学,QQ群,699597994
浙江,杭州市,,浙江师范大学,QQ群,598926437
浙江,杭州市,,浙江理工大学,QQ群,977586591
浙江,杭州市,西湖区,赛高卡牌,微信,13073659359
浙江,温州市,鹿城区,肥肥卡牌,QQ群,863439568
浙江,温州市,苍南县,唐棠TCG,QQ群,907025587
浙江,金华市,,浙江师范大学,QQ群,598926437
浙江,金华市,婺城区,金华鸽社,QQ群,673785537
浙江,嘉兴市,嘉善县,霜星卡牌,QQ群,878877495
浙江,台州市,,玩家群,QQ群,704655260
浙江,舟山市,定海区,霸权之塔战棋俱乐部,QQ群,936011015
浙江,嘉兴市,平湖市,嘟嘟卡牌,QQ群,977915878
广东,广州市,,玩家群,QQ群,747829159
广东,广州市,,广州南方学院,QQ群,766638155
广东,广州市,,华南农业大学,QQ群,340679021
广东,广州市,,广东交通职业技术学院,QQ群,791642312
广东,广州市,,华南理工大学,QQ群,410119394
广东,广州市,,广东金融学院,微信,13794242498
广东,广州市,,广州华商学院,QQ群,975995376
广东,广州市,,广州华商学院,微信,nkxm1826094615
广东,广州市,荔湾区,卡片诊所,QQ群,821597440
广东,广州市,越秀区,卡次元动漫桌游,微信,miyanoeroro
广东,广州市,花都区,轻悦卡牌,微信,673780029
广东,广州市,白云区,团结之力桌游卡牌,QQ群,216372698
广东,广州市,海珠区,游魂动漫卡牌,QQ群,656786107
广东,广州市,海珠区,猪猪卡牌,QQ群,921606155
广东,深圳市,,玩家群,QQ群,24452969
广东,深圳市,,深圳大学,QQ群,1092292132
广东,深圳市,宝安区,壹零卡牌,微信,13411888842
广东,深圳市,南山区,宝卡游艺(后海店),微信,poke58
广东,深圳市,福田区,宝卡游艺,微信,LYC1138963451
广东,深圳市,福田区,MS卡牌,QQ群,902133476
广东,湛江市,,广东海洋大学,QQ群,860586934
广东,湛江市,霞山区,闪光卡游,QQ群,534884190
广东,佛山市,,佛山大学,QQ群,602524593
广东,佛山市,高明区,玩家群,QQ群,277435069
广东,江门市,,玩家群,QQ群,1092863634
广东,江门市,恩平市,贰姑娘卡牌,微信,a2290018399
广东,潮州市,湘桥区,桦哥卡牌TCG,微信,CZHGKPD
广东,惠州市,惠城区,羽栗卡牌,QQ群,853357246
广东,惠州市,惠东县,小角落卡牌,微信,c1659385765
广东,梅州市,,玩家群,QQ群,686073385
广东,阳江市,阳春市,玩家群,QQ群,1130426420
广东,韶关市,,韶关学院,QQ群,835794206
广东,清远市,,广东财贸职业学院(清远),QQ群,1059572568
广东,东莞市,莞城区,Regulus卡牌屋,QQ群,809508208
广东,广州市,,广东工程职业技术学院,QQ群,1025417099
广东,汕尾市,,玩家群,QQ群,471361918
广东,广州市,番禺区,番禺PDK卡牌,QQ群,1001315438
广东,珠海市,,珠海科技学院,QQ群,144196155
广西,南宁市,,玩家群,QQ群,928029260
广西,钦州市,钦南区,67潮玩,QQ群,1048353404
广西,梧州市,万秀区,冰狗卡牌,QQ群,275733825
广西,桂林市,秀峰区,窝窝卡牌,QQ群,16300894
福建,福州市,,福建师范大学,QQ群,813664234
福建,福州市,,福建农林大学,QQ群,850414515
福建,福州市,,福州大学,QQ群,914962811
福建,福州市,,阳光学院,QQ群,654386904
福建,福州市,仓山区,阿豆卡友汇,QQ群,824565514
福建,福州市,台江区,常磐卡牌,QQ群,682370377
福建,福州市,连江县,玩家群,QQ群,468877017
福建,厦门市,思明区,梨花屋,QQ群,910348210
福建,泉州市,,玩家群,QQ群,775343586
福建,泉州市,石狮市,进基の猫,微信,gogo_8664
福建,宁德市,霞浦县,霞浦王中王卡牌,QQ群,614259766
福建,三明市,三元区,咕咕卡牌,QQ群,247449646
福建,三明市,永安市,玩家群,微信,Morfonica_fans
福建,漳州市,,玩家群,QQ群,824443668
湖北,武汉市,武昌区,暗夜领域卡牌潮玩,QQ群,977213777
湖北,黄石市,西塞山区,幻梦境卡牌,QQ群,858370323
湖北,襄阳市,,玩家群,QQ群,1018569037
湖北,十堰市,,玩家群,QQ群,575934513
湖北,鄂州市,鄂城区,貘良卡牌,QQ群,921742436
湖南,长沙市,,玩家群,QQ群,493159590
湖南,长沙市,天心区,樱梦卡社,QQ群,822802354
湖南,长沙市,岳麓区,天马卡牌,QQ群,868726918
湖南,长沙市,浏阳市,玩家群,QQ群,386446893
湖南,湘潭市,,玩家群,QQ群,755259717
湖南,怀化市,,玩家群,QQ群,948091282
湖南,怀化市,鹤城区,雾魃卡牌,QQ群,592196595
湖南,怀化市,鹤城区,克苏鲁占星馆,微信,18674583015
湖南,张家界市,,玩家群,QQ群,908804008
江西,南昌市,青山湖区,开橘卡牌,QQ群,910494014
江西,九江市,,南昌航空大学(共青城),QQ群,861843732
江西,九江市,浔阳区,闪电蛙卡牌,QQ群,978942417
江西,赣州市,,玩家群,QQ群,642383114
江西,抚州市,,玩家群,QQ群,1039768023
海南,海口市,美兰区,闪电卡社,QQ群,549183421

